Anys;Mes;Valor
2007;Anual;3781855
2007;Gener;0
2007;Febrer;0
2007;Març;744
2007;Abril;18684
2007;Maig;181861
2007;Juny;363399
2007;Juliol;510983
2007;Agost;452278
2007;Setembre;541646
2007;Octubre;546365
2007;Novembre;622796
2007;Desembre;543099
2008;Anual;12307828
2008;Gener;717545
2008;Febrer;775494
2008;Març;911191
2008;Abril;1120121
2008;Maig;1082011
2008;Juny;1173518
2008;Juliol;1185254
2008;Agost;984162
2008;Setembre;1182431
2008;Octubre;1212708
2008;Novembre;1036873
2008;Desembre;926520
2009;Anual;10704955
2009;Gener;965094
2009;Febrer;810471
2009;Març;983955
2009;Abril;921957
2009;Maig;942590
2009;Juny;1041011
2009;Juliol;958034
2009;Agost;740528
2009;Setembre;848176
2009;Octubre;909000
2009;Novembre;922941
2009;Desembre;661198
2010;Anual;11159331
2010;Gener;650434
2010;Febrer;682235
2010;Març;845730
2010;Abril;940749
2010;Maig;1017494
2010;Juny;1107000
2010;Juliol;1078989
2010;Agost;796110
2010;Setembre;1066000
2010;Octubre;1109000
2010;Novembre;1050459
2010;Desembre;815131
2011;Anual;14513371
2011;Gener;938368
2011;Febrer;1004485
2011;Març;1092630
2011;Abril;1187003
2011;Maig;1418401
2011;Juny;1307452
2011;Juliol;1314539
2011;Agost;960106
2011;Setembre;1421262
2011;Octubre;1434125
2011;Novembre;1280000
2011;Desembre;1155000
2012;Anual;16168954
2012;Gener;1253460
2012;Febrer;1187905
2012;Març;1473740
2012;Abril;1275801
2012;Maig;1628865
2012;Juny;1585696
2012;Juliol;1442000
2012;Agost;1114219
2012;Setembre;1338067
2012;Octubre;1480730
2012;Novembre;1316180
2012;Desembre;1072291
2013;Anual;14213256
2013;Gener;1160485
2013;Febrer;1034615
2013;Març;1088179
2013;Abril;1220726
2013;Maig;1333528
2013;Juny;1341721
2013;Juliol;1350829
2013;Agost;993157
2013;Setembre;1249507
2013;Octubre;1394079
2013;Novembre;1105870
2013;Desembre;940560
2014;Anual;13313717
2014;Gener;1043927
2014;Febrer;1053178
2014;Març;1147154
2014;Abril;1132421
2014;Maig;1244306
2014;Juny;1211912
2014;Juliol;1214947
2014;Agost;910035
2014;Setembre;1117632
2014;Octubre;1321113
2014;Novembre;1040068
2014;Desembre;877024
2015;Anual;12505443
2015;Gener;912897
2015;Febrer;875852
2015;Març;1001526
2015;Abril;1068979
2015;Maig;1182013
2015;Juny;1160090
2015;Juliol;1114795
2015;Agost;850049
2015;Setembre;1074033
2015;Octubre;1168000
2015;Novembre;1118106
2015;Desembre;979103
2016;Anual;14253530
2016;Gener;1008612
2016;Febrer;1083290
2016;Març;1070994
2016;Abril;1170000
2016;Maig;1305611
2016;Juny;1384002
2016;Juliol;1277419
2016;Agost;1027707
2016;Setembre;1327460
2016;Octubre;1309435
2016;Novembre;1266331
2016;Desembre;1022669
2017;Anual;14154833
2017;Gener;1025807
2017;Febrer;1129702
2017;Març;1342093
2017;Abril;1149276
2017;Maig;1463944
2017;Juny;1360560
2017;Juliol;1211578
2017;Agost;973354
2017;Setembre;1146897
2017;Octubre;1293646
2017;Novembre;1185019
2017;Desembre;872957
2018;Gener;1045724
2018;Febrer;853375
2018;Març;1033314
2018;Abril;1118229
2018;Maig;1252756
2018;Juny;1248458
2018;Juliol;1194864
