Emissions de contaminants locals derivades de la mobilitat per municipis
Emissions dels contaminants locals diòxid de nitrogen (NO2) i partícules en suspensió (PM10) derivades de la mobilitat als municipis de l'AMB i els districtes de Barcelona
Unitats: Tones/any.

Àmbits;Anys;Contaminant;Valor
Badalona;2012;Emissions de NO2;121
Badalona;2012;Emissions de PM;38
Barcelona;2012;Emissions de NO2;1052
Barcelona;2012;Emissions de PM;322
Begues;2012;Emissions de NO2;6
Begues;2012;Emissions de PM;2
Castellbisbal;2012;Emissions de NO2;107
Castellbisbal;2012;Emissions de PM;32
Castelldefels;2012;Emissions de NO2;47
Castelldefels;2012;Emissions de PM;14
Cervelló;2012;Emissions de NO2;23
Cervelló;2012;Emissions de PM;7
Corbera de Llobregat;2012;Emissions de NO2;5
Corbera de Llobregat;2012;Emissions de PM;2
Cornellà de Llobregat;2012;Emissions de NO2;70
Cornellà de Llobregat;2012;Emissions de PM;21
Esplugues de Llobregat;2012;Emissions de NO2;65
Esplugues de Llobregat;2012;Emissions de PM;20
Gavà;2012;Emissions de NO2;60
Gavà;2012;Emissions de PM;18
Hospitalet de Llobregat, l';2012;Emissions de NO2;117
Hospitalet de Llobregat, l';2012;Emissions de PM;35
Molins de Rei;2012;Emissions de NO2;43
Molins de Rei;2012;Emissions de PM;13
Montcada i Reixac;2012;Emissions de NO2;98
Montcada i Reixac;2012;Emissions de PM;29
Montgat;2012;Emissions de NO2;26
Montgat;2012;Emissions de PM;8
Pallejà;2012;Emissions de NO2;58
Pallejà;2012;Emissions de PM;17
Papiol, el;2012;Emissions de NO2;45
Papiol, el;2012;Emissions de PM;14
Prat de Llobregat, el;2012;Emissions de NO2;85
Prat de Llobregat, el;2012;Emissions de PM;25
Ripollet;2012;Emissions de NO2;33
Ripollet;2012;Emissions de PM;10
Sant Adrià de Besòs;2012;Emissions de NO2;50
Sant Adrià de Besòs;2012;Emissions de PM;15
Sant Andreu de la Barca;2012;Emissions de NO2;17
Sant Andreu de la Barca;2012;Emissions de PM;5
Sant Boi de Llobregat;2012;Emissions de NO2;80
Sant Boi de Llobregat;2012;Emissions de PM;24
Sant Climent de Llobregat;2012;Emissions de NO2;2
Sant Climent de Llobregat;2012;Emissions de PM;1
Sant Cugat del Vallès;2012;Emissions de NO2;155
Sant Cugat del Vallès;2012;Emissions de PM;46
Sant Feliu de Llobregat;2012;Emissions de NO2;42
Sant Feliu de Llobregat;2012;Emissions de PM;13
Sant Joan Despí;2012;Emissions de NO2;56
Sant Joan Despí;2012;Emissions de PM;16
Sant Just Desvern;2012;Emissions de NO2;25
Sant Just Desvern;2012;Emissions de PM;8
Santa Coloma de Cervelló;2012;Emissions de NO2;26
Santa Coloma de Cervelló;2012;Emissions de PM;8
Santa Coloma de Gramenet;2012;Emissions de NO2;44
Santa Coloma de Gramenet;2012;Emissions de PM;13
Barberà del Vallès;2012;Emissions de NO2;55
Barberà del Vallès;2012;Emissions de PM;17
Sant Vicenç dels Horts;2012;Emissions de NO2;42
Sant Vicenç dels Horts;2012;Emissions de PM;13
Cerdanyola del Vallès;2012;Emissions de NO2;98
Cerdanyola del Vallès;2012;Emissions de PM;29
Tiana;2012;Emissions de NO2;15
Tiana;2012;Emissions de PM;5
Torrelles de Llobregat;2012;Emissions de NO2;11
Torrelles de Llobregat;2012;Emissions de PM;3
Viladecans;2012;Emissions de NO2;67
Viladecans;2012;Emissions de PM;20
Badia del Vallès;2012;Emissions de NO2;26
Badia del Vallès;2012;Emissions de PM;8
Palma de Cervelló, la;2012;Emissions de NO2;8
Palma de Cervelló, la;2012;Emissions de PM;2
Ciutat Vella;2012;Emissions de NO2;54
Ciutat Vella;2012;Emissions de PM;17
L'Eixample;2012;Emissions de NO2;193
L'Eixample;2012;Emissions de PM;59
Sants-Montjuïc;2012;Emissions de NO2;165
Sants-Montjuïc;2012;Emissions de PM;51
Les Corts;2012;Emissions de NO2;95
Les Corts;2012;Emissions de PM;30
Sarrià-Sant Gervasi;2012;Emissions de NO2;129
Sarrià-Sant Gervasi;2012;Emissions de PM;40
Gràcia;2012;Emissions de NO2;45
Gràcia;2012;Emissions de PM;14
Horta-Guinardó;2012;Emissions de NO2;93
Horta-Guinardó;2012;Emissions de PM;29
Nou Barris;2012;Emissions de NO2;52
Nou Barris;2012;Emissions de PM;16
Sant Andreu;2012;Emissions de NO2;103
Sant Andreu;2012;Emissions de PM;32
Sant Martí;2012;Emissions de NO2;137
Sant Martí;2012;Emissions de PM;42


Font: IERMB a partir de dades d’MCRIT i de l’Institut Cerdà.
Última actualització: 2017-06-06
SIMBA;http://iermbdb.uab.cat?ap=0&id_ind=1920
